Metabolite	Number of neighbors	All_n	AvgAbsPearson	Z-score	P-value	Consumed_n	Consumed_AvgAbsPearson	Consumed_Z-score	Consumed_P-value	Produced_n	Produced_AvgAbsPearson	Produced_Z-score	Produced_P-value	cross_n	Cross_AvgAbsPearson	Cross_Z-score	Cross_P-value	positive_n	positive_Pearson	positive_Z-score	positive_P-value	Consumed_positive_n	Consumed_positive_Pearson	Consumed_positive_Z-score	Consumed_positive_P-value	Produced_positive_n	Produced_positive_Pearson	Produced_positive_Z-score	Produced_positive_P-value	Cross_positive_n	Cross_positive_Pearson	Cross_positive_Z-score	Cross_positive_P-value	negative_n	negative_Pearson	negative_Z-score	negative_P-value	Consumed_negative_n	Consumed_negative_Pearson	Consumed_negative_Z-score	Consumed_negative_P-value	Produced_negative_n	Produced_negative_Pearson	Produced_negative_Z-score	Produced_negative_P-value	Cross_negative_n	Cross_negative_Pearson	Cross_negative_Z-score	Cross_negative_P-value
H-Protein-S-aminomethyldihydrolipoyllysine C9H19N2OS2R	2	1	0.486519	0.515238	0.303193	NC	NC	NC	NC	NC	NC	NC	NC	1	0.486519	0.515238	0.303193	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.486519	0.61507	0.269254	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.486519	0.61507	0.269254
[H protein]-dihydrolipoyllysine C8H16NOS2R	2	1	0.096941	-1.09635	0.863536	NC	NC	NC	NC	NC	NC	NC	NC	1	0.096941	-1.09635	0.863536	1	0.096941	-1.19998	0.884926	NC	NC	NC	NC	NC	NC	NC	NC	1	0.096941	-1.19998	0.884926	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
photonII	21	210	0.369492	0.0240899	0.49039	210	0.369492	0.0240899	0.49039	NC	NC	NC	NC	NC	NC	NC	NC	106	0.402079	0.130073	0.448254	106	0.402079	0.130073	0.448254	NC	NC	NC	NC	NC	NC	NC	NC	104	-0.336278	0.101493	0.45958	104	-0.336278	0.101493	0.45958	NC	NC	NC	NC	NC	NC	NC	NC
PSII	21	210	0.369492	0.0240899	0.49039	210	0.369492	0.0240899	0.49039	210	0.369492	0.0240899	0.49039	420	0.369492	0.032473	0.487047	106	0.402079	0.130073	0.448254	106	0.402079	0.130073	0.448254	106	0.402079	0.130073	0.448254	212	0.402079	0.175768	0.430238	104	-0.336278	0.101493	0.45958	104	-0.336278	0.101493	0.45958	104	-0.336278	0.101493	0.45958	208	-0.336278	0.138359	0.444978
H+ H_peri-bac	66	2145	0.359126	-1.59273	0.94439	36	0.352273	-0.417315	0.661776	1596	0.35474	-1.83602	0.966823	513	0.373249	-0.000721843	0.500288	1152	0.378904	-1.90843	0.971832	27	0.386786	-0.0796692	0.53175	842	0.378461	-1.65782	0.951323	283	0.379472	-1.12929	0.870613	993	-0.33618	-0.234149	0.592565	9	-0.248733	-1.21961	0.888693	754	-0.328252	-0.858407	0.804666	230	-0.365593	1.33259	0.0913324
PSII*	21	210	0.369492	0.0240899	0.49039	210	0.369492	0.0240899	0.49039	210	0.369492	0.0240899	0.49039	420	0.369492	0.032473	0.487047	106	0.402079	0.130073	0.448254	106	0.402079	0.130073	0.448254	106	0.402079	0.130073	0.448254	212	0.402079	0.175768	0.430238	104	-0.336278	0.101493	0.45958	104	-0.336278	0.101493	0.45958	104	-0.336278	0.101493	0.45958	208	-0.336278	0.138359	0.444978
citb6f	12	66	0.364146	-0.270711	0.606693	28	0.395489	0.369155	0.356006	66	0.364146	-0.270711	0.606693	88	0.380028	0.0752552	0.470006	37	0.358046	-0.980348	0.836543	15	0.377551	-0.378219	0.647366	37	0.358046	-0.980348	0.836543	50	0.370324	-0.880288	0.810648	29	-0.371929	0.678274	0.248799	13	-0.416186	1.00284	0.15797	29	-0.371929	0.678274	0.248799	38	-0.392796	1.11999	0.13136
citb6f*	12	66	0.364146	-0.270711	0.606693	66	0.364146	-0.270711	0.606693	28	0.395489	0.369155	0.356006	88	0.380028	0.0752552	0.470006	37	0.358046	-0.980348	0.836543	37	0.358046	-0.980348	0.836543	15	0.377551	-0.378219	0.647366	50	0.370324	-0.880288	0.810648	29	-0.371929	0.678274	0.248799	29	-0.371929	0.678274	0.248799	13	-0.416186	1.00284	0.15797	38	-0.392796	1.11999	0.13136
PC	12	66	0.446148	1.80329	0.0356716	1	0.892479	2.13731	0.0162864	45	0.454581	1.61625	0.0530198	20	0.404859	0.605167	0.272534	46	0.475931	1.6981	0.0447442	0	-10000	-1.#IND	1.#QNAN	36	0.499765	1.95186	0.0254773	10	0.390127	-0.00249113	0.500994	20	-0.37765	0.466358	0.32048	1	-0.892479	2.15358	0.0156367	9	-0.273846	-0.93249	0.824458	10	-0.41959	0.961063	0.16826
PC*	12	66	0.446148	1.80329	0.0356716	45	0.454581	1.61625	0.0530198	1	0.892479	2.13731	0.0162864	20	0.404859	0.605167	0.272534	46	0.475931	1.6981	0.0447442	36	0.499765	1.95186	0.0254773	0	-10000	-1.#IND	1.#QNAN	10	0.390127	-0.00249113	0.500994	20	-0.37765	0.466358	0.32048	9	-0.273846	-0.93249	0.824458	1	-0.892479	2.15358	0.0156367	10	-0.41959	0.961063	0.16826
photonI	11	55	0.45046	1.76089	0.0391289	55	0.45046	1.76089	0.0391289	NC	NC	NC	NC	NC	NC	NC	NC	37	0.503201	2.03395	0.0209784	37	0.503201	2.03395	0.0209784	NC	NC	NC	NC	NC	NC	NC	NC	18	-0.342047	0.00722326	0.497118	18	-0.342047	0.00722326	0.497118	NC	NC	NC	NC	NC	NC	NC	NC
PSI	15	105	0.406657	0.898981	0.184331	55	0.45046	1.76089	0.0391289	91	0.410404	0.836256	0.201506	144	0.426352	1.78423	0.0371933	72	0.45389	1.29988	0.0968204	37	0.503201	2.03395	0.0209784	69	0.458916	1.37048	0.0852687	104	0.471349	2.18695	0.0143731	33	-0.303602	-0.697832	0.757359	18	-0.342047	0.00722326	0.497118	22	-0.258254	-1.45513	0.927183	40	-0.309361	-0.703224	0.759042
PSI*	15	105	0.406657	0.898981	0.184331	91	0.410404	0.836256	0.201506	55	0.45046	1.76089	0.0391289	144	0.426352	1.78423	0.0371933	72	0.45389	1.29988	0.0968204	69	0.458916	1.37048	0.0852687	37	0.503201	2.03395	0.0209784	104	0.471349	2.18695	0.0143731	33	-0.303602	-0.697832	0.757359	22	-0.258254	-1.45513	0.927183	18	-0.342047	0.00722326	0.497118	40	-0.309361	-0.703224	0.759042
Fd	16	120	0.392014	0.537174	0.295574	91	0.410404	0.836256	0.201506	15	0.315214	-1.10182	0.864729	80	0.350196	-0.766948	0.778444	90	0.427664	0.747839	0.227279	69	0.458916	1.37048	0.0852687	9	0.308059	-1.39659	0.918731	57	0.382795	-0.610372	0.729192	30	-0.285064	-0.985753	0.837873	22	-0.258254	-1.45513	0.927183	6	-0.325948	-0.157591	0.56261	23	-0.269408	-1.03881	0.850554
Fd*	16	120	0.392014	0.537174	0.295574	15	0.315214	-1.10182	0.864729	91	0.410404	0.836256	0.201506	80	0.350196	-0.766948	0.778444	90	0.427664	0.747839	0.227279	9	0.308059	-1.39659	0.918731	69	0.458916	1.37048	0.0852687	57	0.382795	-0.610372	0.729192	30	-0.285064	-0.985753	0.837873	6	-0.325948	-0.157591	0.56261	22	-0.258254	-1.45513	0.927183	23	-0.269408	-1.03881	0.850554
FNR	5	10	0.35179	-0.538682	0.704947	10	0.35179	-0.538682	0.704947	NC	NC	NC	NC	4	0.439387	0.626426	0.265518	5	0.377127	-0.523091	0.699544	5	0.377127	-0.523091	0.699544	NC	NC	NC	NC	1	0.234337	-0.469165	0.680524	5	-0.326453	-0.216383	0.585655	5	-0.326453	-0.216383	0.585655	NC	NC	NC	NC	3	-0.507737	1.10735	0.134072
FNR*	5	10	0.35179	-0.538682	0.704947	NC	NC	NC	NC	10	0.35179	-0.538682	0.704947	4	0.439387	0.626426	0.265518	5	0.377127	-0.523091	0.699544	NC	NC	NC	NC	5	0.377127	-0.523091	0.699544	1	0.234337	-0.469165	0.680524	5	-0.326453	-0.216383	0.585655	NC	NC	NC	NC	5	-0.326453	-0.216383	0.585655	3	-0.507737	1.10735	0.134072
PPPi H5O10P3	2	1	0.0888316	-1.1585	0.876671	NC	NC	NC	NC	1	0.0888316	-1.1585	0.876671	NC	NC	NC	NC	1	0.0888316	-1.26205	0.896535	NC	NC	NC	NC	1	0.0888316	-1.26205	0.896535	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
H2 H2	3	3	0.341767	0.0384772	0.484654	NC	NC	NC	NC	3	0.341767	0.0384772	0.484654	NC	NC	NC	NC	1	0.358077	-0.0099353	0.503964	NC	NC	NC	NC	1	0.358077	-0.0099353	0.503964	NC	NC	NC	NC	2	-0.333613	0.157222	0.437535	NC	NC	NC	NC	2	-0.333613	0.157222	0.437535	NC	NC	NC	NC
O2 O2	7	21	0.268108	-1.18907	0.882794	21	0.268108	-1.18907	0.882794	NC	NC	NC	NC	NC	NC	NC	NC	7	0.357307	0.0163139	0.493492	7	0.357307	0.0163139	0.493492	NC	NC	NC	NC	NC	NC	NC	NC	14	-0.223508	-1.24462	0.893364	14	-0.223508	-1.24462	0.893364	NC	NC	NC	NC	NC	NC	NC	NC
cit c	25	300	0.361639	-0.294934	0.615978	66	0.364146	-0.270711	0.606693	120	0.370427	0.362626	0.358442	189	0.34271	-0.931021	0.824079	179	0.381905	-0.306905	0.620542	37	0.358046	-0.980348	0.836543	78	0.414789	0.7907	0.21456	99	0.347856	-1.10749	0.865958	121	-0.331658	-0.300979	0.618285	29	-0.371929	0.678274	0.248799	42	-0.288041	-0.76612	0.778197	90	-0.337048	-0.149221	0.55931
cit c*	25	300	0.361639	-0.294934	0.615978	120	0.370427	0.362626	0.358442	66	0.364146	-0.270711	0.606693	189	0.34271	-0.931021	0.824079	179	0.381905	-0.306905	0.620542	78	0.414789	0.7907	0.21456	37	0.358046	-0.980348	0.836543	99	0.347856	-1.10749	0.865958	121	-0.331658	-0.300979	0.618285	42	-0.288041	-0.76612	0.778197	29	-0.371929	0.678274	0.248799	90	-0.337048	-0.149221	0.55931
N-acetyl-L-ornithine C7H14N2O3	3	3	0.391896	-0.363557	0.641906	3	0.391896	-0.363557	0.641906	NC	NC	NC	NC	NC	NC	NC	NC	1	0.010151	-2.49936	0.993779	1	0.010151	-2.49936	0.993779	NC	NC	NC	NC	NC	NC	NC	NC	2	-0.582768	1.28294	0.0997559	2	-0.582768	1.28294	0.0997559	NC	NC	NC	NC	NC	NC	NC	NC
H2CO3 CH2O3	2	1	0.0758319	-1.26764	0.897537	1	0.0758319	-1.26764	0.897537	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0758319	-1.07596	0.859028	1	-0.0758319	-1.07596	0.859028	NC	NC	NC	NC	NC	NC	NC	NC
N4-acetylaminobutanal C6H11NO2	2	1	0.629665	0.979798	0.163593	NC	NC	NC	NC	NC	NC	NC	NC	1	0.629665	0.979798	0.163593	1	0.629665	0.873546	0.191183	NC	NC	NC	NC	NC	NC	NC	NC	1	0.629665	0.873546	0.191183	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
H2O	2	1	0.531174	0.657905	0.2553	NC	NC	NC	NC	NC	NC	NC	NC	1	0.531174	0.657905	0.2553	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.531174	0.750387	0.226511	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.531174	0.750387	0.226511
nitrite NO2	2	1	0.737092	1.36626	0.0859289	NC	NC	NC	NC	NC	NC	NC	NC	1	0.737092	1.36626	0.0859289	1	0.737092	1.25952	0.103921	NC	NC	NC	NC	NC	NC	NC	NC	1	0.737092	1.25952	0.103921	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
nitrate NO3	2	1	0.30017	-0.10897	0.543387	NC	NC	NC	NC	1	0.30017	-0.10897	0.543387	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.30017	0.0230188	0.490818	NC	NC	NC	NC	1	-0.30017	0.0230188	0.490818	NC	NC	NC	NC
carbamate CH2NO2	2	1	0.383841	0.182051	0.427771	NC	NC	NC	NC	NC	NC	NC	NC	1	0.383841	0.182051	0.427771	1	0.383841	0.0768073	0.469388	NC	NC	NC	NC	NC	NC	NC	NC	1	0.383841	0.0768073	0.469388	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
nicotinate nucleotide C11H15NO9P	4	6	0.238183	-1.10277	0.864936	3	0.157442	-1.44248	0.925416	NC	NC	NC	NC	3	0.318923	-0.193679	0.576786	4	0.248945	-1.12554	0.86982	1	0.0390117	-1.78902	0.963194	NC	NC	NC	NC	3	0.318923	-0.36342	0.641854	2	-0.216658	-0.480439	0.684542	2	-0.216658	-0.480439	0.684542	NC	NC	NC	NC	0	-10000	0	0.5
deamido-NAD C21H27N6O15P2	3	3	0.260419	-0.753079	0.774299	NC	NC	NC	NC	1	0.0390117	-1.68614	0.954115	2	0.371122	0.187884	0.425484	3	0.260419	-0.924287	0.822332	NC	NC	NC	NC	1	0.0390117	-1.78902	0.963194	2	0.371122	0.0462017	0.481575	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
nicotinamide mononucleotide C11H16N2O8P	3	3	0.157442	-1.44248	0.925416	3	0.157442	-1.44248	0.925416	NC	NC	NC	NC	NC	NC	NC	NC	1	0.0390117	-1.78902	0.963194	1	0.0390117	-1.78902	0.963194	NC	NC	NC	NC	NC	NC	NC	NC	2	-0.216658	-0.480439	0.684542	2	-0.216658	-0.480439	0.684542	NC	NC	NC	NC	NC	NC	NC	NC
o-succinylbenzoate C11H10O5	2	1	0.0184431	-2.09974	0.982124	NC	NC	NC	NC	NC	NC	NC	NC	1	0.0184431	-2.09974	0.982124	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0184431	-1.86519	0.968923	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.0184431	-1.86519	0.968923
acetylphosphate C2H5O5P	2	1	0.842052	1.8356	0.0332082	NC	NC	NC	NC	1	0.842052	1.8356	0.0332082	NC	NC	NC	NC	1	0.842052	1.72827	0.0419698	NC	NC	NC	NC	1	0.842052	1.72827	0.0419698	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC
2,3-dihydroxy-3-methylbutanoate	2	1	0.254012	-0.284733	0.612076	NC	NC	NC	NC	NC	NC	NC	NC	1	0.254012	-0.284733	0.612076	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.254012	-0.143689	0.557127	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.254012	-0.143689	0.557127
pantothenate C9H17NO5	2	1	0.461409	0.434891	0.331821	NC	NC	NC	NC	NC	NC	NC	NC	1	0.461409	0.434891	0.331821	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.461409	0.538862	0.294991	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.461409	0.538862	0.294991
D-4'-phosphopantothenate C9H18NO8P	2	1	0.659842	1.08305	0.139394	NC	NC	NC	NC	NC	NC	NC	NC	1	0.659842	1.08305	0.139394	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.659842	1.15363	0.124327	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.659842	1.15363	0.124327
pantetheine 4'-phosphate C11H23N2O7Ps	2	1	0.182353	-0.596147	0.724461	NC	NC	NC	NC	NC	NC	NC	NC	1	0.182353	-0.596147	0.724461	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.182353	-0.43906	0.669691	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.182353	-0.43906	0.669691
malonyl-CoA C24H38N7O19P3s	2	1	0.311874	-0.0664724	0.526499	NC	NC	NC	NC	NC	NC	NC	NC	1	0.311874	-0.0664724	0.526499	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.311874	0.0633272	0.474753	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.311874	0.0633272	0.474753
an [acyl-carrier protein]	4	6	0.224149	-1.1838	0.881754	1	0.0639272	-1.38091	0.916347	3	0.128968	-1.43217	0.923952	5	0.243192	-0.960086	0.831494	2	0.264766	-0.577232	0.718109	0	-10000	-1.#IND	1.#QNAN	1	0.128936	-0.986609	0.838083	1	0.400597	0.132275	0.447383	4	-0.20384	-0.927311	0.823117	1	-0.0639272	-1.1834	0.881675	2	-0.128984	-0.987405	0.838278	4	-0.20384	-0.927311	0.823117
a malonyl-ACP C3H3O3acyl carrier protein	4	6	0.224149	-1.1838	0.881754	3	0.128968	-1.43217	0.923952	NC	NC	NC	NC	3	0.31933	-0.324216	0.627113	2	0.264766	-0.577232	0.718109	1	0.128936	-0.986609	0.838083	NC	NC	NC	NC	1	0.400597	0.132275	0.447383	4	-0.20384	-0.927311	0.823117	2	-0.128984	-0.987405	0.838278	NC	NC	NC	NC	2	-0.278697	-0.373044	0.645442
an acetyl-ACP C2H3Oacyl carrier protein	3	3	0.128968	-1.43217	0.923952	3	0.128968	-1.43217	0.923952	3	0.128968	-1.43217	0.923952	6	0.128968	-1.93056	0.973231	1	0.128936	-0.986609	0.838083	1	0.128936	-0.986609	0.838083	1	0.128936	-0.986609	0.838083	2	0.128936	-1.33321	0.908768	2	-0.128984	-0.987405	0.838278	2	-0.128984	-0.987405	0.838278	2	-0.128984	-0.987405	0.838278	4	-0.128984	-1.34607	0.91086
acetoacetyl-[acp] C4H5O2SR	5	10	0.331125	-0.352778	0.637872	1	0.033877	-1.76812	0.961479	3	0.128968	-1.43217	0.923952	6	0.481745	1.13114	0.128998	5	0.444877	0.526688	0.299205	0	-10000	-1.#IND	1.#QNAN	1	0.128936	-0.986609	0.838083	4	0.523862	1.04794	0.147334	5	-0.217374	-0.965377	0.832822	1	-0.033877	-1.55065	0.939507	2	-0.128984	-0.987405	0.838278	2	-0.397511	0.442073	0.329218
(3R)-3-Hydroxybutanoyl-[acyl-carrier protein] C4H7O2SR	2	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC
butyryl-[acyl-carrier protein] C4H7OSR	3	3	0.128968	-1.43217	0.923952	3	0.128968	-1.43217	0.923952	NC	NC	NC	NC	NC	NC	NC	NC	1	0.128936	-0.986609	0.838083	1	0.128936	-0.986609	0.838083	NC	NC	NC	NC	NC	NC	NC	NC	2	-0.128984	-0.987405	0.838278	2	-0.128984	-0.987405	0.838278	NC	NC	NC	NC	NC	NC	NC	NC
3-oxohexanoyl-[acyl-carrier protein] C6H9O2SR	5	10	0.331125	-0.352778	0.637872	1	0.033877	-1.76812	0.961479	3	0.128968	-1.43217	0.923952	6	0.481745	1.13114	0.128998	5	0.444877	0.526688	0.299205	0	-10000	-1.#IND	1.#QNAN	1	0.128936	-0.986609	0.838083	4	0.523862	1.04794	0.147334	5	-0.217374	-0.965377	0.832822	1	-0.033877	-1.55065	0.939507	2	-0.128984	-0.987405	0.838278	2	-0.397511	0.442073	0.329218
(R)-3-Hydroxyhexanoyl-[acyl-carrier protein] C6H11O2SR	2	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC
hexanoyl-[acyl-carrier protein] C6H11OSR	3	3	0.128968	-1.43217	0.923952	3	0.128968	-1.43217	0.923952	NC	NC	NC	NC	NC	NC	NC	NC	1	0.128936	-0.986609	0.838083	1	0.128936	-0.986609	0.838083	NC	NC	NC	NC	NC	NC	NC	NC	2	-0.128984	-0.987405	0.838278	2	-0.128984	-0.987405	0.838278	NC	NC	NC	NC	NC	NC	NC	NC
3-oxooctanoyl-[acyl-carrier protein] C8H13O2SR	5	10	0.331125	-0.352778	0.637872	1	0.033877	-1.76812	0.961479	3	0.128968	-1.43217	0.923952	6	0.481745	1.13114	0.128998	5	0.444877	0.526688	0.299205	0	-10000	-1.#IND	1.#QNAN	1	0.128936	-0.986609	0.838083	4	0.523862	1.04794	0.147334	5	-0.217374	-0.965377	0.832822	1	-0.033877	-1.55065	0.939507	2	-0.128984	-0.987405	0.838278	2	-0.397511	0.442073	0.329218
(R)-3-Hydroxyoctanoyl-[acyl-carrier protein] C8H15O2SR	2	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC
octanoyl-[acyl-carrier protein] C8H15OSR	3	3	0.128968	-1.43217	0.923952	3	0.128968	-1.43217	0.923952	NC	NC	NC	NC	NC	NC	NC	NC	1	0.128936	-0.986609	0.838083	1	0.128936	-0.986609	0.838083	NC	NC	NC	NC	NC	NC	NC	NC	2	-0.128984	-0.987405	0.838278	2	-0.128984	-0.987405	0.838278	NC	NC	NC	NC	NC	NC	NC	NC
3-oxodecanoyl-[acyl-carrier protein] C10H17O2SR	5	10	0.331125	-0.352778	0.637872	1	0.033877	-1.76812	0.961479	3	0.128968	-1.43217	0.923952	6	0.481745	1.13114	0.128998	5	0.444877	0.526688	0.299205	0	-10000	-1.#IND	1.#QNAN	1	0.128936	-0.986609	0.838083	4	0.523862	1.04794	0.147334	5	-0.217374	-0.965377	0.832822	1	-0.033877	-1.55065	0.939507	2	-0.128984	-0.987405	0.838278	2	-0.397511	0.442073	0.329218
(R)-3-Hydroxydecanoyl-[acyl-carrier protein] C10H19O2SR	2	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC
decanoyl-[acyl-carrier protein] C10H19OSR	3	3	0.128968	-1.43217	0.923952	3	0.128968	-1.43217	0.923952	NC	NC	NC	NC	NC	NC	NC	NC	1	0.128936	-0.986609	0.838083	1	0.128936	-0.986609	0.838083	NC	NC	NC	NC	NC	NC	NC	NC	2	-0.128984	-0.987405	0.838278	2	-0.128984	-0.987405	0.838278	NC	NC	NC	NC	NC	NC	NC	NC
3-oxododecanoyl-[acyl-carrier protein] C12H21O2SR	5	10	0.331125	-0.352778	0.637872	1	0.033877	-1.76812	0.961479	3	0.128968	-1.43217	0.923952	6	0.481745	1.13114	0.128998	5	0.444877	0.526688	0.299205	0	-10000	-1.#IND	1.#QNAN	1	0.128936	-0.986609	0.838083	4	0.523862	1.04794	0.147334	5	-0.217374	-0.965377	0.832822	1	-0.033877	-1.55065	0.939507	2	-0.128984	-0.987405	0.838278	2	-0.397511	0.442073	0.329218
(R)-3-Hydroxydodecanoyl-[acyl-carrier protein] C12H23O2SR	2	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC
dodecanoyl-[acyl-carrier protein] C12H23OSR	3	3	0.128968	-1.43217	0.923952	3	0.128968	-1.43217	0.923952	NC	NC	NC	NC	NC	NC	NC	NC	1	0.128936	-0.986609	0.838083	1	0.128936	-0.986609	0.838083	NC	NC	NC	NC	NC	NC	NC	NC	2	-0.128984	-0.987405	0.838278	2	-0.128984	-0.987405	0.838278	NC	NC	NC	NC	NC	NC	NC	NC
3-oxotetradecanoyl-[acyl-carrier protein] C14H25O2SR	5	10	0.331125	-0.352778	0.637872	1	0.033877	-1.76812	0.961479	3	0.128968	-1.43217	0.923952	6	0.481745	1.13114	0.128998	5	0.444877	0.526688	0.299205	0	-10000	-1.#IND	1.#QNAN	1	0.128936	-0.986609	0.838083	4	0.523862	1.04794	0.147334	5	-0.217374	-0.965377	0.832822	1	-0.033877	-1.55065	0.939507	2	-0.128984	-0.987405	0.838278	2	-0.397511	0.442073	0.329218
(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein] C14H27O2SR	2	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC
tetradecanoyl-[acyl-carrier protein] C14H27OSR	3	3	0.128968	-1.43217	0.923952	3	0.128968	-1.43217	0.923952	NC	NC	NC	NC	NC	NC	NC	NC	1	0.128936	-0.986609	0.838083	1	0.128936	-0.986609	0.838083	NC	NC	NC	NC	NC	NC	NC	NC	2	-0.128984	-0.987405	0.838278	2	-0.128984	-0.987405	0.838278	NC	NC	NC	NC	NC	NC	NC	NC
3-oxohexadecanoyl-[acyl-carrier protein] C16H29O2SR	5	10	0.331125	-0.352778	0.637872	1	0.033877	-1.76812	0.961479	3	0.128968	-1.43217	0.923952	6	0.481745	1.13114	0.128998	5	0.444877	0.526688	0.299205	0	-10000	-1.#IND	1.#QNAN	1	0.128936	-0.986609	0.838083	4	0.523862	1.04794	0.147334	5	-0.217374	-0.965377	0.832822	1	-0.033877	-1.55065	0.939507	2	-0.128984	-0.987405	0.838278	2	-0.397511	0.442073	0.329218
(R)-3-Hydroxypalmitoyl-[acyl-carrier protein] C16H31O2SR	2	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC
3-oxooctadecanoyl-[acp] C18H33O2SR	3	3	0.250441	-0.855642	0.803902	1	0.033877	-1.76812	0.961479	NC	NC	NC	NC	2	0.358723	0.11395	0.454639	1	0.44546	0.278122	0.390459	0	-10000	-1.#IND	1.#QNAN	NC	NC	NC	NC	1	0.44546	0.278122	0.390459	2	-0.152932	-1.10953	0.866399	1	-0.033877	-1.55065	0.939507	NC	NC	NC	NC	1	-0.271987	-0.0771267	0.530739
